alpha1,alpha2,alpha3,rank,auroc,fpr_at_95tpr,detection_error,threshold_at_target_tpr
0.4,1.0,0.5,32,0.9874417489035088,0.05198019801980198,0.04841388744137573,0.9934589266777039
0.4,1.2,0.5,32,0.9874799157547334,0.0510519801980198,0.04841388744137573,0.9934622049331665
0.4,1.4,0.5,32,0.987524019671704,0.0510519801980198,0.04841388744137573,0.9934634566307068
0.4,1.6,0.5,32,0.9875754176980198,0.050433168316831686,0.04793620809449364,0.9934671521186829
0.4,1.8,0.5,32,0.9876120578751955,0.04981435643564357,0.04762680215389958,0.9934702515602112
0.4,2.0,0.5,32,0.9876556529008164,0.04981435643564357,0.047472099183602554,0.9934727549552917
0.5,1.0,0.5,32,0.9877994995223207,0.04795792079207921,0.04509455879798503,0.9934830069541931
0.5,1.2,0.5,32,0.9878351219167969,0.04795792079207921,0.04509455879798503,0.9934856295585632
0.5,1.4,0.5,32,0.9878760028552197,0.04764851485148515,0.044869289560534986,0.9934881925582886
0.5,1.6,0.5,32,0.9879172230545422,0.04733910891089109,0.044869289560534986,0.9934908747673035
0.5,1.8,0.5,32,0.9879575951016154,0.04702970297029703,0.044714586590237956,0.9934929013252258
0.5,2.0,0.5,32,0.9879991545618376,0.04672029702970297,0.044869289560534986,0.9934960007667542
0.6,1.0,0.5,32,0.9877209606240229,0.04579207920792079,0.04519498002431824,0.9935058951377869
0.6,1.2,0.5,32,0.9877655734323433,0.04548267326732673,0.044673875282265074,0.9935091137886047
0.6,1.4,0.5,32,0.9878052669576168,0.04517326732673267,0.044364469341671015,0.9935116171836853
0.6,1.6,0.5,32,0.9878417375043426,0.04486386138613861,0.043590954490185865,0.9935141801834106
0.6,1.8,0.5,32,0.9878792258337676,0.04486386138613861,0.04352038822303285,0.9935152530670166
0.6,2.0,0.5,32,0.9879138304455446,0.04486386138613861,0.04336568525273582,0.9935172200202942
0.7,1.0,0.5,32,0.9872856888896125,0.04455445544554455,0.04494256991488625,0.9935351610183716
0.7,1.2,0.5,32,0.9873253824148863,0.04455445544554455,0.04487200364773318,0.9935357570648193
0.7,1.4,0.5,32,0.9873674507664583,0.04424504950495049,0.04440789473684209,0.9935396909713745
0.7,1.6,0.5,32,0.9874018857477853,0.04424504950495049,0.04456259770713912,0.9935411810874939
0.7,1.8,0.5,32,0.9874368296204621,0.04424504950495049,0.04456259770713912,0.9935430288314819
0.7,2.0,0.5,32,0.9874709253408893,0.04393564356435643,0.04456259770713912,0.9935446977615356
0.8,1.0,0.5,32,0.986592748501824,0.04733910891089109,0.044815007816571106,0.9935590028762817
0.8,1.2,0.5,32,0.9866304064616988,0.04733910891089109,0.04457616814313012,0.9935612082481384
0.8,1.4,0.5,32,0.9866733229655202,0.04702970297029703,0.04426676220253606,0.9935633540153503
0.8,1.6,0.5,32,0.9867077579468473,0.04702970297029703,0.04411205923223903,0.9935653209686279
0.8,1.8,0.5,32,0.986742701819524,0.04702970297029703,0.04411205923223903,0.9935653209686279
0.8,2.0,0.5,32,0.9867774760617509,0.04702970297029703,0.04411205923223903,0.9935671091079712
