alpha1,alpha2,alpha3,rank,auroc,fpr_at_95tpr,detection_error,threshold_at_target_tpr
0.6,2.0,0.5,32,0.9879138304455446,0.04486386138613861,0.04336568525273582,0.9935172200202942
0.6,2.5,0.5,32,0.9880134035196283,0.04393564356435643,0.042662736668403686,0.9935255646705627
0.6,3.0,0.5,32,0.9880946565051241,0.04362623762376237,0.04259217040125067,0.9935314655303955
0.6,3.5,0.5,32,0.988167088707226,0.043316831683168314,0.04259217040125067,0.9935373067855835
0.6,4.0,0.5,32,0.9882471542795727,0.0426980198019802,0.04243746743095364,0.9935427308082581
0.7,2.0,0.5,32,0.9874709253408894,0.04393564356435643,0.04456259770713912,0.9935446977615356
0.7,2.5,0.5,32,0.9875642220883273,0.04362623762376237,0.04425319176654506,0.9935507774353027
0.7,3.0,0.5,32,0.9876383505949279,0.043316831683168314,0.04409848879624803,0.9935547113418579
0.7,3.5,0.5,32,0.9877163806018759,0.0426980198019802,0.04409848879624803,0.9935606122016907
0.7,4.0,0.5,32,0.9877983121091715,0.0426980198019802,0.043607239013375,0.9935637712478638
0.8,2.0,0.5,32,0.9867774760617508,0.04702970297029703,0.04411205923223903,0.9935671091079712
0.8,2.5,0.5,32,0.9868689068742399,0.04641089108910891,0.043957356261942,0.9935753345489502
0.8,3.0,0.5,32,0.9869465976202884,0.04579207920792079,0.04411205923223903,0.9935823082923889
0.8,3.5,0.5,32,0.9870315824756818,0.04548267326732673,0.043957356261942,0.9935856461524963
0.8,4.0,0.5,32,0.9871219955054716,0.04517326732673267,0.043957356261942,0.9935893416404724
