alpha1,alpha2,alpha3,rank,auroc,fpr_at_95tpr,detection_error,threshold_at_target_tpr
0.0,0.0,0.5,32,0.9776615356848186,0.12004950495049505,0.0786732456140351,0.9932991862297058
0.0,0.2,0.5,32,0.9777617872807017,0.11974009900990099,0.07896908111863817,0.9933021068572998
0.0,0.4,0.5,32,0.9778574588544381,0.11943069306930693,0.07862982021886397,0.9933047294616699
0.0,0.6,0.5,32,0.977956862298072,0.11571782178217822,0.07834755515025185,0.9933099746704102
0.0,0.8,0.5,32,0.978057283524405,0.11417079207920793,0.0779133011985409,0.9933138489723206
0.0,1.0,0.5,32,0.9781521069458919,0.11262376237623763,0.0774491922876498,0.9933182597160339
0.2,0.0,0.5,32,0.9846967889634357,0.07178217821782178,0.060716844710786845,0.9933941960334778
0.2,0.2,0.5,32,0.984770238948237,0.06992574257425743,0.060182169532742746,0.9933986663818359
0.2,0.4,0.5,32,0.9848408052153899,0.06961633663366337,0.059731631057842655,0.9934004545211792
0.2,0.6,0.5,32,0.9849047558949974,0.06899752475247525,0.059422225117248595,0.9934024214744568
0.2,0.8,0.5,32,0.9849670102701059,0.06837871287128713,0.0594086546812576,0.9934040904045105
0.2,1.0,0.5,32,0.985022649057669,0.06806930693069307,0.05925395171096057,0.993405818939209
0.4,0.0,0.5,32,0.9872044359041167,0.053217821782178217,0.04955380406461701,0.9934475421905518
0.4,0.2,0.5,32,0.9872565124522321,0.05290841584158416,0.04955380406461701,0.9934500455856323
0.4,0.4,0.5,32,0.987298580803804,0.0525990099009901,0.04939910109431998,0.9934526085853577
0.4,0.6,0.5,32,0.9873418365685253,0.05228960396039604,0.04911683602570781,0.9934543967247009
0.4,0.8,0.5,32,0.9873995109214869,0.05198019801980198,0.04856859041167276,0.9934577345848083
0.4,1.0,0.5,32,0.9874417489035088,0.05198019801980198,0.04841388744137573,0.9934589266777039
0.6,0.0,0.5,32,0.9875031551263679,0.04733910891089109,0.045688943894389454,0.9934938549995422
0.6,0.2,0.5,32,0.9875448842170401,0.04733910891089109,0.045688943894389454,0.9934958219528198
0.6,0.4,0.5,32,0.9875920414821087,0.04702970297029703,0.045688943894389454,0.9934999346733093
0.6,0.6,0.5,32,0.9876391987471773,0.04672029702970297,0.04551795640090324,0.9935008883476257
0.6,0.8,0.5,32,0.9876763478157027,0.04610148514851485,0.04536325343060621,0.9935036897659302
0.6,1.0,0.5,32,0.9877209606240229,0.04579207920792079,0.04519498002431824,0.9935058951377869
0.8,0.0,0.5,32,0.9864063246373979,0.04950495049504951,0.045124413757165166,0.9935457110404968
0.8,0.2,0.5,32,0.9864494107716693,0.04764851485148515,0.045124413757165166,0.9935500025749207
0.8,0.4,0.5,32,0.9864819798180476,0.04764851485148515,0.045124413757165166,0.9935523867607117
0.8,0.6,0.5,32,0.9865230303869202,0.04733910891089109,0.045124413757165166,0.9935545921325684
0.8,0.8,0.5,32,0.9865595009336459,0.04733910891089109,0.044815007816571106,0.9935568571090698
0.8,1.0,0.5,32,0.9865930877627236,0.04733910891089109,0.044815007816571106,0.9935590028762817
1.0,0.0,0.5,32,0.9843719466519021,0.055383663366336634,0.048443742400555864,0.9935833215713501
1.0,0.2,0.5,32,0.9844180861342713,0.055074257425742575,0.048134336459961805,0.99358731508255
1.0,0.4,0.5,32,0.9844674485951885,0.055074257425742575,0.047979633489664775,0.9935896396636963
1.0,0.6,0.5,32,0.9845163021647559,0.055074257425742575,0.047979633489664775,0.9935919642448425
1.0,0.8,0.5,32,0.9845648164734236,0.054764851485148515,0.047824930519367745,0.993594229221344
1.0,1.0,0.5,32,0.9846118041080423,0.054764851485148515,0.047824930519367745,0.9935963749885559
