alpha1,alpha2,alpha3,rank,auroc,fpr_at_95tpr,detection_error,threshold_at_target_tpr
0.5,4.0,0.5,32,0.9883401117661109,0.043316831683168314,0.04211449105436858,0.993520975112915
0.5,4.5,0.5,32,0.9884106780332638,0.0426980198019802,0.04188922181691854,0.9935253262519836
0.5,5.0,0.5,32,0.9884756464955705,0.04176980198019802,0.041031570262289374,0.993530809879303
0.5,5.5,0.5,32,0.988542480892826,0.04176980198019802,0.041031570262289374,0.9935335516929626
0.5,6.0,0.5,32,0.9886069404637832,0.04238861386138614,0.041031570262289374,0.9935358762741089
0.6,4.0,0.5,32,0.9882471542795727,0.0426980198019802,0.04243746743095364,0.9935427308082581
0.6,4.5,0.5,32,0.9883243361342714,0.0426980198019802,0.0421850573215216,0.9935446381568909
0.6,5.0,0.5,32,0.9883976164886225,0.0426980198019802,0.04163681170748655,0.9935500025749207
0.6,5.5,0.5,32,0.9884556301024839,0.04207920792079208,0.04124326906374848,0.9935550093650818
0.6,6.0,0.5,32,0.9885129651945459,0.04084158415841584,0.04124326906374848,0.993563711643219
0.7,4.0,0.5,32,0.9877978032178218,0.0426980198019802,0.043607239013375,0.9935637712478638
0.7,4.5,0.5,32,0.9878749850725204,0.0426980198019802,0.04318112732325866,0.9935677647590637
0.7,5.0,0.5,32,0.9879508098836199,0.04146039603960396,0.04295585808580856,0.9935767650604248
0.7,5.5,0.5,32,0.9880179835417753,0.0411509900990099,0.04295585808580856,0.9935814142227173
0.7,6.0,0.5,32,0.9880836305258816,0.039913366336633664,0.04294228764981762,0.9935879111289978
